year,title,vote_average,vote_count,budget,revenue,runtime,genres_description
2016,Hacksaw Ridge,8.2,12917,40000000,175302354,139,"Drama, War, History"
2019,Togo,8.2,1870,0,0,113,"Adventure, Family"
1979,Alien,8.2,13498,11000000,104931801,117,"Horror, Science Fiction"
2022,20th Century Girl,8.2,555,119,0,119,"Romance, Drama"
2023,Poor Things,8.1,48,35000000,10900000,142,"Romance, Comedy, Science Fiction"
2011,Harry Potter and the Deathly Hallows: Part 2,8.1,19515,125000000,1341511219,130,"Fantasy, Adventure"
2020,Soul,8.1,9714,150000000,121000000,101,"Drama, Animation, Family, Comedy, Fantasy"
2023,Sound of Freedom,8.1,1704,14500000,249125713,131,"Action, Drama"
2023,Oppenheimer,8.1,5844,100000000,952000000,181,"Drama, History"
2008,WALL·E,8.1,17730,180000000,521311860,98,"Science Fiction, Family, Animation"
2023,"Red, White & Royal Blue",8.1,955,0,0,121,"Comedy, Romance"
2005,Pride & Prejudice,8.1,7534,28000000,121616555,127,"Drama, Romance"
1991,Terminator 2: Judgment Day,8.1,11998,102000000,520000000,137,"Thriller, Science Fiction, Action"
2014,Black Butler: Book of Murder,8.1,50,0,0,116,"Adventure, Mystery, Animation"
2023,12th Fail,8.1,18,0,0,146,Drama
2014,The Grand Budapest Hotel,8.1,14025,30000000,174600318,100,"Drama, Comedy"
2016,Hidden Figures,8.1,9096,25000000,236000000,127,"Drama, History"
1998,The Truman Show,8.1,17185,60000000,264118201,103,"Comedy, Drama"
2023,My Fault,8.1,2076,0,0,117,"Romance, Drama"
2013,The Wolf of Wall Street,8,22659,100000000,392000000,180,"Comedy, Crime, Drama"
2022,Suzume,8,899,0,321092572,123,"Animation, Drama, Adventure, Fantasy"
2004,Harry Potter and the Prisoner of Azkaban,8,20411,130000000,789804554,141,"Fantasy, Adventure"
1995,Toy Story,8,17441,30000000,394400000,81,"Animation, Family, Comedy, Adventure"
2021,Spider-Man: No Way Home,8,18768,200000000,1921847111,148,"Adventure, Science Fiction, Action"
2023,Godzilla Minus One,8,229,13000000,81600000,125,"Horror, Action, Science Fiction"
2023,Guardians of the Galaxy Vol. 3,8,5608,250000000,845600000,150,"Science Fiction, Action, Adventure"
2023,Gran Turismo,8,1719,60000000,121700000,135,"Drama, Action, Adventure"
2014,The Imitation Game,8,16208,14000000,233600000,113,"Thriller, Drama, History, War"
2009,Up,8,19179,175000000,735099082,96,"Animation, Family, Comedy, Adventure"
2021,Cruella,8,8687,200000000,233503234,134,"Comedy, Crime"
2002,Catch Me If You Can,8,14693,52000000,352114312,141,"Drama, Crime"
2021,CODA,8,1991,10000000,1600000,112,"Music, Romance, Drama"
2019,Ford v Ferrari,8,7165,97600000,225508210,153,"Action, Drama, History"
2010,Flipped,8,2728,14000000,1755212,89,"Drama, Romance"
2023,Nimona,8,650,0,0,102,"Animation, Fantasy"
2017,Gifted,8,5084,7000000,40300000,101,"Drama, Comedy"
2023,Rascal Does Not Dream of a Sister Venturing Out,8,11,0,0,74,"Drama, Animation"
2021,Nobody,8,6412,17000000,61779301,92,"Thriller, Action"
2019,No Manches Frida 2,8,821,0,0,102,Comedy
2021,Miraculous World: Shanghai – The Legend of Ladydragon,7.9,599,0,0,54,"Animation, Action, TV Movie, Fantasy"
2016,La La Land,7.9,15844,30000000,447407695,129,"Drama, Romance, Music, Comedy"
2021,Sing 2,7.9,4040,85000000,406000000,110,"Music, Comedy, Family, Animation"
2014,Gone Girl,7.9,17646,61000000,369300000,149,"Mystery, Thriller, Drama"
2021,Finch,7.9,3173,2500000,0,115,"Science Fiction, Drama, Adventure"
2015,Inside Out,7.9,19847,175000000,857611174,95,"Adventure, Animation, Comedy, Drama, Family"
1998,Mulan,7.9,9076,90000000,304320254,88,"Family, Animation, Adventure"
2008,The Boy in the Striped Pyjamas,7.9,6685,12500000,20416563,94,"History, War, Drama"
1982,Blade Runner,7.9,13019,28000000,41722424,118,"Thriller, Drama, Science Fiction"
2021,Raya and the Last Dragon,7.9,6400,100000000,130423032,107,"Family, Adventure, Animation, Fantasy, Action"
1986,Aliens,7.9,8927,18500000,183316455,137,"Science Fiction, Thriller, Action"
2001,A Beautiful Mind,7.9,9637,58000000,316800000,135,"Romance, Drama"
2019,Little Women,7.9,5838,40000000,216600000,135,"Drama, Romance"
2001,Harry Potter and the Philosopher's Stone,7.9,25874,125000000,976475550,152,"Fantasy, Adventure"
2021,Wish Dragon,7.9,1203,0,25860000,99,"Comedy, Animation, Fantasy, Family"
1996,Fargo,7.9,7461,7000000,60611975,98,"Thriller, Drama, Crime"
2023,Past Lives,7.9,448,12000000,15348213,106,"Romance, Drama"
1995,Heat,7.9,6738,60000000,187400000,170,"Drama, Crime, Action"
2013,Her,7.9,13604,23000000,47351251,126,"Romance, Science Fiction, Drama"
2022,Dragon Ball Super: Super Hero,7.9,2625,0,86562140,99,"Science Fiction, Animation, Action"
2019,Demon Slayer: Kimetsu no Yaiba Sibling's Bond,7.9,178,0,0,105,"Fantasy, Action, Animation"
2004,The Notebook,7.9,10815,29000000,115600000,123,"Romance, Drama"
2016,Me Before You,7.9,11631,20000000,207945075,110,"Drama, Romance"
2009,Coraline,7.9,7239,60000000,131800000,100,"Family, Fantasy, Animation"
2022,Redeeming Love,7.9,340,30000000,9500000,134,"Romance, Drama, Western"
1997,Titanic,7.9,24031,200000000,2264162353,194,"Drama, Romance"
2013,About Time,7.9,7932,12000000,87100449,123,"Romance, Drama, Fantasy"
2023,Journey to Bethlehem,7.9,13,6000000,7300000,99,"Family, Music, Drama"
2022,The Whale,7.9,3239,3000000,55101305,117,Drama
2003,Finding Nemo,7.8,18325,94000000,940335536,100,"Animation, Family"
2023,John Wick: Chapter 4,7.8,5294,90000000,426978565,170,"Crime, Action, Thriller"
2019,How to Train Your Dragon: The Hidden World,7.8,5936,129000000,524580592,104,"Adventure, Animation, Family"
2010,Toy Story 3,7.8,13967,200000000,1066970000,103,"Family, Comedy, Animation"
1993,The Nightmare Before Christmas,7.8,8866,24000000,75634409,76,"Animation, Family, Fantasy"
2003,Pirates of the Caribbean: The Curse of the Black Pearl,7.8,19533,140000000,655011224,143,"Action, Fantasy, Adventure"
2007,Ratatouille,7.8,16019,150000000,623726000,111,"Animation, Family, Fantasy, Comedy"
2001,"Monsters, Inc.",7.8,17482,115000000,579700000,92,"Family, Animation, Comedy"
2005,Harry Potter and the Goblet of Fire,7.8,19640,150000000,895921036,157,"Fantasy, Adventure"
2016,Train to Busan,7.8,6861,8500000,87547518,118,"Action, Horror, Adventure, Thriller"
2022,Luck,7.8,1531,0,0,105,"Adventure, Comedy, Animation, Fantasy"
2012,The Dark Knight Rises,7.8,21664,250000000,1081041287,165,"Drama, Action, Crime, Thriller"
1976,Rocky,7.8,7318,1000000,225300000,119,Drama
2022,A Man Called Otto,7.8,2101,50000000,108961677,126,"Comedy, Drama"
2022,Everything Everywhere All at Once,7.8,5560,25000000,139200000,140,"Science Fiction, Adventure, Action"
2023,"Miraculous: Ladybug & Cat Noir, The Movie",7.8,705,86000000,39357124,107,"Fantasy, Animation, Action, Romance, Family"
2010,Harry Potter and the Deathly Hallows: Part 1,7.8,18087,250000000,954305868,146,"Fantasy, Adventure"
2021,Dune,7.8,9785,165000000,402000000,155,"Science Fiction, Adventure"
2010,How to Train Your Dragon,7.8,12290,165000000,494879471,98,"Animation, Family, Adventure, Fantasy"
2019,"The Gangster, the Cop, the Devil",7.8,885,6500000,25775371,110,"Thriller, Action, Crime"
2006,Paprika,7.8,2145,0,946590,90,"Animation, Thriller, Science Fiction, Mystery"
1988,Die Hard,7.8,10465,28000000,140767956,132,"Action, Thriller"
2021,Luca,7.8,7818,200000000,49750471,95,"Animation, Adventure, Comedy, Family, Fantasy"
2023,Guy Ritchie's The Covenant,7.8,1947,55000000,20000000,123,"Action, Thriller, War"
2019,Knives Out,7.8,11420,40000000,312897920,131,"Mystery, Comedy, Crime"
2023,Heathers: The Musical,7.8,13,0,0,135,"Comedy, Thriller, Music"
2023,Five Nights at Freddy's,7.8,3049,20000000,290900000,110,"Horror, Mystery"
2017,Logan,7.8,18319,97000000,619021436,137,"Drama, Science Fiction, Action"
2012,The Avengers,7.7,29512,220000000,1518815515,143,"Action, Adventure, Science Fiction"
2023,Anatomy of a Fall,7.7,517,6200000,18400000,152,"Drama, Mystery"
2023,Elemental,7.7,3377,200000000,496000000,102,"Comedy, Family, Animation, Romance, Fantasy"
2010,Three Steps Above Heaven,7.7,2836,0,0,122,"Drama, Romance"
2002,Harry Potter and the Chamber of Secrets,7.7,20792,100000000,876688482,161,"Adventure, Fantasy"
2022,A Frozen Rooster,7.7,325,0,0,91,"Family, Adventure, Comedy, Animation"
1973,The Exorcist,7.7,7493,12000000,441400000,122,Horror
2007,Harry Potter and the Order of the Phoenix,7.7,18496,150000000,938212738,138,"Adventure, Fantasy"
2014,Big Hero 6,7.7,14924,165000000,657827828,102,"Action, Comedy, Family, Adventure, Animation"
2023,Stolen Vacation,7.7,27,0,0,92,Comedy
2020,Onward,7.7,5795,200000000,141940042,103,"Adventure, Fantasy, Comedy, Family, Animation"
2004,The Incredibles,7.7,16817,92000000,631442092,115,"Family, Animation, Action, Adventure"
2002,A Walk to Remember,7.7,3838,11800000,47494916,101,"Drama, Romance"
2019,Descendants 3,7.7,1394,15000000,0,106,"Fantasy, Adventure, Family, TV Movie"
2016,Zootopia,7.7,15484,150000000,1023784195,109,"Family, Adventure, Comedy, Animation"
1984,The Terminator,7.7,12117,6400000,78371200,108,"Thriller, Science Fiction, Action"
2015,The Hateful Eight,7.7,13473,44000000,155760117,188,"Mystery, Drama, Western"
2005,Batman Begins,7.7,19904,150000000,374218673,140,"Crime, Action, Drama"
2022,Prey,7.7,6027,65000000,0,100,"Action, Science Fiction, Thriller"
2009,Harry Potter and the Half-Blood Prince,7.7,18433,250000000,933959197,153,"Adventure, Fantasy"
2022,The Woman King,7.7,1815,50000000,97300000,135,"Drama, History, Action"
2014,How to Train Your Dragon 2,7.7,9071,145000000,621537519,102,"Comedy, Fantasy, Action, Adventure, Family, Animation"
2002,Spirit: Stallion of the Cimarron,7.7,4315,80000000,122563539,83,"Family, Comedy, Adventure, Animation, Drama"
2023,The Super Mario Bros. Movie,7.7,7647,100000000,1362000000,93,"Family, Family, Family, Fantasy, Fantasy, Fantasy, Adventure, Adventure, Adventure, Comedy, Comedy, Comedy, Animation, Animation, Animation"
2015,The Martian,7.7,18778,108000000,630600000,141,"Drama, Adventure, Science Fiction"
1991,Beauty and the Beast,7.7,9417,25000000,424967620,84,"Romance, Family, Animation, Fantasy"
2001,Shrek,7.7,16095,60000000,487900000,90,"Comedy, Animation, Adventure, Family, Fantasy"
2023,The Holdovers,7.7,282,0,0,133,"Drama, Comedy"
2021,Wrath of Man,7.7,4798,40000000,103966489,119,"Action, Thriller, Crime"
2022,The Batman,7.7,8971,185000000,771000000,177,"Thriller, Mystery, Crime"
2022,The Black Phone,7.7,4343,17000000,161400000,103,"Thriller, Horror"
2022,All Quiet on the Western Front,7.7,3332,20000000,0,147,"War, Drama"
2023,El duelo,7.7,3,0,0,0,"Comedy, Action, Crime"
1999,Toy Story 2,7.6,13106,90000000,497400000,92,"Animation, Family, Comedy"
2018,Ready Player One,7.6,14675,175000000,607274134,140,"Action, Science Fiction, Adventure"
2016,Deadpool,7.6,29231,58000000,783100000,108,"Action, Comedy, Adventure"
2015,Mad Max: Fury Road,7.6,21202,150000000,378858340,121,"Science Fiction, Action, Adventure"
2022,Sword Art Online the Movie – Progressive – Scherzo of Deep Night,7.6,140,0,0,100,"Fantasy, Animation, Science Fiction, Action"
2021,The Tomorrow War,7.6,2971,200000000,14400000,138,"Action, Adventure, Science Fiction"
2016,Arrival,7.6,16792,47000000,203388186,116,"Mystery, Drama, Science Fiction"
2023,"Justice League x RWBY: Super Heroes & Huntsmen, Part Two",7.6,16,0,0,75,"Action, Fantasy, Animation, Adventure"
2022,Sniper: The White Raven,7.6,581,1000000,0,120,"Action, Drama, War"
2022,Elvis,7.6,2911,85000000,288670284,159,"Music, Drama"
2022,The Bad Guys,7.6,1775,80000000,250162278,100,"Family, Adventure, Animation, Action"
2021,Encanto,7.6,8875,50000000,253000000,102,"Animation, Comedy, Fantasy, Family"
2006,Apocalypto,7.6,5158,40000000,120673227,139,"History, Drama, Action"
2009,Avatar,7.6,30234,237000000,2923706026,162,"Action, Fantasy, Science Fiction, Adventure"
2008,Iron Man,7.6,25232,140000000,585174222,126,"Science Fiction, Adventure, Action"
2017,Blade Runner 2049,7.6,12651,150000000,259239658,164,"Science Fiction, Drama"
2022,Avatar: The Way of Water,7.6,10505,460000000,2320250281,192,"Action, Science Fiction, Adventure"
2023,Radical,7.6,13,10000000,20800000,127,Drama
2022,Mira,7.6,77,6042800,0,110,"Science Fiction, Family, Drama, Adventure"
2017,Guardians of the Galaxy Vol. 2,7.6,20628,200000000,863756051,137,"Adventure, Science Fiction, Action"
2010,Tangled,7.6,10738,260000000,592461732,100,"Animation, Family"
2013,The Hobbit: The Desolation of Smaug,7.6,12451,250000000,958400000,161,"Adventure, Fantasy, Action"
2017,Thor: Ragnarok,7.6,19802,180000000,855301806,131,"Adventure, Science Fiction, Action"
2014,The Fault in Our Stars,7.6,10749,14000000,307166834,126,"Romance, Drama"
1992,Aladdin,7.6,10699,28000000,504050219,95,"Family, Fantasy, Romance, Animation, Adventure"
2019,Balkan Line,7.6,428,3500000,4944386,130,"War, Action, Drama"
2014,Kingsman: The Secret Service,7.6,15874,81000000,414351546,129,"Comedy, Crime, Adventure, Action"
2020,The Call of the Wild,7.6,3474,109000000,111200000,100,"Drama, Adventure, Family"
2021,Shang-Chi and the Legend of the Ten Rings,7.6,8708,150000000,432243292,132,"Adventure, Action, Fantasy"
2021,Godzilla vs. Kong,7.6,9273,200000000,470116094,114,"Thriller, Science Fiction, Action"
2023,Mission: Impossible - Dead Reckoning Part One,7.6,2810,291000000,567500000,164,"Action, Thriller"
2017,Get Out,7.6,16369,4500000,255407969,104,"Mystery, Horror, Thriller"
2022,The Valet,7.6,468,0,0,124,"Romance, Comedy"
2015,The Revenant,7.5,17333,135000000,532950503,157,"Western, Adventure, Drama"
2023,Sisu,7.5,1607,6200000,13009289,91,"War, Action"
2006,Blood Diamond,7.5,7139,100000000,171700000,143,"Action, Thriller, Drama"
2018,Incredibles 2,7.5,12226,200000000,1242805359,118,"Adventure, Family, Action, Animation"
1971,Willy Wonka & the Chocolate Factory,7.5,3231,3000000,4000000,99,"Comedy, Family, Fantasy"
2023,Fist of the Condor,7.5,59,0,0,85,Action
2000,The Emperor's New Groove,7.5,6229,100000000,169327687,78,"Comedy, Fantasy, Family, Animation, Adventure"
2014,X-Men: Days of Future Past,7.5,14591,250000000,747862775,132,"Adventure, Action, Science Fiction"
2010,Scott Pilgrim vs. the World,7.5,7352,85000000,48000000,113,"Action, Romance, Comedy"
2023,Killers of the Flower Moon,7.5,1719,200000000,156300000,206,"Drama, History, Crime"
1990,Pretty Woman,7.5,7585,14000000,463406268,119,"Comedy, Romance"
2018,Deadpool 2,7.5,16580,110000000,785900000,120,"Comedy, Adventure, Action"
2023,Nowhere,7.5,1009,0,0,109,"Drama, Thriller"
2020,The SpongeBob Movie: Sponge on the Run,7.5,2744,60000000,4700000,95,"Family, Animation, Adventure, Comedy, Fantasy"
2023,Carl's Date,7.5,339,0,0,9,"Family, Adventure, Animation"
2005,Corpse Bride,7.5,8541,40000000,118100000,77,"Animation, Fantasy, Romance"
2021,The Conjuring: The Devil Made Me Do It,7.5,5540,39000000,206400000,111,"Thriller, Mystery, Horror"
2023,Strays,7.5,591,46000000,32000000,93,"Adventure, Comedy"
2023,Resident Evil: Death Island,7.5,776,0,53929,91,"Animation, Action, Horror"
2023,Extraction 2,7.5,2027,65000000,0,123,"Action, Thriller"
2022,Sonic the Hedgehog 2,7.5,4454,110000000,405400000,123,"Family, Comedy, Action, Adventure"
2023,Leo,7.5,739,0,0,102,"Animation, Family, Comedy"
1987,Predator,7.5,7447,15000000,98267558,107,"Action, Science Fiction, Thriller, Adventure"
2014,Fury,7.5,11227,68000000,211817906,135,"Drama, Action, War"
2023,Kingdom 3: The Flame of Fate,7.5,77,0,0,0,"War, Adventure, Action"
2019,Toy Story 4,7.5,9235,175000000,1073395000,100,"Animation, Adventure, Fantasy, Family, Comedy"
2020,The Croods: A New Age,7.5,3590,65000000,215905815,95,"Family, Adventure, Comedy, Animation, Fantasy"
1982,E.T. the Extra-Terrestrial,7.5,10611,10500000,792965500,115,"Fantasy, Adventure, Family, Science Fiction"
2013,The Conjuring,7.5,10892,13000000,320400000,112,"Horror, Thriller"
1990,Dragon Ball Z: Bardock - The Father of Goku,7.5,623,0,0,48,"Animation, Action, Drama, Fantasy, Science Fiction"
2021,The Suicide Squad,7.5,7915,185000000,168717425,132,"Comedy, Adventure, Action"
2022,Bullet Train,7.5,5106,90000000,239268602,127,"Action, Thriller, Comedy"
2021,Free Guy,7.5,7892,110000000,331500000,115,"Comedy, Adventure, Science Fiction"
2023,Sobreviviendo mis XV,7.5,57,0,0,101,Comedy
2020,A Soldier's Story 2: Return from the Dead,7.5,13,0,0,0,Action
2023,"Scooby-Doo! and Krypto, Too!",7.5,51,0,0,79,"Family, Mystery, Fantasy, Comedy, Animation"
1997,Hercules,7.5,6937,85000000,252712101,93,"Romance, Fantasy, Animation, Comedy, Family, Adventure"
2023,Heroic,7.5,87,0,0,88,"Thriller, Drama"
2015,Creed,7.4,7063,37000000,17360000,133,"Action, Drama"
2014,American Sniper,7.4,12277,58800000,542300000,133,"Action, War"
2021,Jungle Cruise,7.4,5311,200000000,220889446,127,"Action, Fantasy, Adventure"
2023,Rally Road Racers,7.4,19,0,2900000,93,"Comedy, Family, Animation"
2023,Air,7.4,1539,80000000,90100000,111,"Drama, History"
2013,The Great Gatsby,7.4,11669,105000000,351040419,143,"Drama, Romance"
2022,Minions: The Rise of Gru,7.4,3195,85000000,940000000,87,"Family, Comedy, Animation"
2021,PAW Patrol: The Movie,7.4,1174,26000000,144327371,86,"Animation, Comedy, Family, Adventure"
2019,John Wick: Chapter 3 - Parabellum,7.4,9942,55000000,326709727,131,"Action, Thriller, Crime"
2002,Ice Age,7.4,12504,59000000,383257136,81,"Comedy, Animation, Adventure, Family"
2021,Ghostbusters: Afterlife,7.4,4056,75000000,191000000,124,"Comedy, Fantasy, Adventure"
2022,Through My Window,7.4,2825,0,0,112,"Comedy, Romance, Drama"
2019,Spider-Man: Far From Home,7.4,14757,160000000,1131927996,129,"Adventure, Action, Science Fiction"
2022,Violent Night,7.4,1814,20000000,75734910,112,"Action, Crime, Comedy, Thriller, Fantasy"
2018,Mission: Impossible - Fallout,7.4,7684,178000000,791700000,147,"Action, Adventure"
1990,The Godfather Part III,7.4,5760,54000000,136766062,162,"Thriller, Crime, Drama"
2023,Dave Chappelle: The Dreamer,7.4,17,0,0,57,Comedy
2022,Decision to Leave,7.4,983,0,16914773,138,"Thriller, Mystery, Romance"
2016,Doctor Strange,7.4,21176,180000000,676343174,115,"Adventure, Fantasy, Action"
2006,The Devil Wears Prada,7.4,11287,35000000,326706115,109,"Comedy, Drama"
1989,The Little Mermaid,7.4,7447,40000000,211343479,83,"Family, Fantasy, Animation"
1999,Tarzan,7.4,6352,130000000,448200000,88,"Animation, Drama, Adventure, Family"
2023,Dungeons & Dragons: Honor Among Thieves,7.4,2807,151000000,208200000,134,"Comedy, Fantasy, Adventure"
2023,"Ruby Gillman, Teenage Kraken",7.4,790,70000000,43700000,91,"Animation, Family, Comedy, Fantasy"
2013,The Hunger Games: Catching Fire,7.4,16543,130000000,865011746,146,"Science Fiction, Adventure, Action"
2023,The Family Plan,7.4,539,0,208,119,"Comedy, Action"
2016,Nocturnal Animals,7.4,7297,22500000,29300000,117,"Drama, Thriller"
2023,Transformers: Rise of the Beasts,7.4,3809,195000000,439000000,127,"Adventure, Action, Science Fiction"
2023,Murder City,7.4,5,0,0,85,"Crime, Thriller, TV Movie, Action"
2008,Taken,7.4,10599,25000000,226830568,94,"Thriller, Action"
2018,Black Panther,7.4,21292,200000000,1349926083,135,"Adventure, Action, Science Fiction"
2023,The Slumber Party,7.4,18,0,0,83,"Comedy, Family"
2019,Once Upon a Time… in Hollywood,7.4,12491,95000000,374300000,162,"Thriller, Drama, Comedy"
2015,Sicario,7.4,7993,30000000,84872444,122,"Crime, Action, Thriller"
2016,Miracles from Heaven,7.4,1122,16000000,74000000,119,"Fantasy, Drama, Family"
2014,John Wick,7.4,18229,20000000,88761661,101,"Action, Thriller"
2023,The Equalizer 3,7.4,2020,70000000,190000000,109,"Thriller, Crime, Action"
2012,Rise of the Guardians,7.4,6355,145000000,306941670,97,"Adventure, Family, Animation, Action, Fantasy"
2023,Rewind,7.4,6,0,7201952,112,"Romance, Drama"
2023,Saw X,7.4,1355,13000000,111000000,118,"Horror, Thriller"
2022,Turning Red,7.4,4646,190000000,18900000,100,"Comedy, Animation, Family, Fantasy"
2021,No Time to Die,7.4,5679,250000000,774153007,163,"Adventure, Action, Thriller"
2022,The Sea Beast,7.4,1313,0,0,119,"Animation, Adventure, Family, Fantasy"
2022,Babylon,7.4,2496,78000000,63363579,189,"Drama, Comedy"
2004,Saw,7.4,8665,1200000,103900000,103,"Horror, Crime, Mystery"
2016,Captain America: Civil War,7.4,21785,250000000,1155046416,147,"Science Fiction, Action, Adventure"
2021,The Boss Baby: Family Business,7.4,2366,82000000,146745280,107,"Animation, Adventure, Comedy, Family"
2014,Dawn of the Planet of the Apes,7.3,10505,170000000,710644566,130,"Action, Thriller, Science Fiction, Drama"
2012,The Hobbit: An Unexpected Journey,7.3,17594,250000000,1021103568,169,"Action, Fantasy, Adventure"
2006,Pirates of the Caribbean: Dead Man's Chest,7.3,15086,200000000,1065700000,151,"Fantasy, Adventure, Action"
2015,Star Wars: The Force Awakens,7.3,18576,245000000,2068223624,136,"Action, Science Fiction, Adventure"
2008,Kung Fu Panda,7.3,10743,130000000,631700000,90,"Adventure, Family, Animation, Comedy, Action"
2005,Lord of War,7.3,4410,50000000,72617068,122,"Crime, Thriller, Drama"
2022,Dog,7.3,1371,20000000,84774243,102,"Comedy, Drama"
2009,Zombieland,7.3,11643,23600000,102391540,88,"Horror, Comedy"
2017,John Wick: Chapter 2,7.3,12271,40000000,171539887,122,"Crime, Action, Thriller"
2023,The Venture Bros.: Radiant Is the Blood of the Baboon Heart,7.3,61,0,0,84,"Adventure, Science Fiction, Animation, Action"
2020,Trolls World Tour,7.3,2006,90000000,49300000,90,"Adventure, Animation, Family, Music, Comedy, Fantasy"
2023,The Wonderful World of Mickey Mouse: Steamboat Silly,7.3,16,0,0,9,"Animation, Comedy"
2020,Extraction,7.3,5660,65000000,0,116,"Thriller, Action"
2023,The Velveteen Rabbit,7.3,40,0,0,44,"Family, Animation, Fantasy"
2014,The Hobbit: The Battle of the Five Armies,7.3,13509,250000000,956019788,144,"Action, Adventure, Fantasy"
2009,The Hangover,7.3,16071,35000000,469310836,100,Comedy
2022,Hocus Pocus 2,7.3,1520,30000000,0,107,"Fantasy, Comedy, Family"
2016,Fantastic Beasts and Where to Find Them,7.3,18092,180000000,809342332,132,"Family, Fantasy, Adventure"
2022,One Piece Film Red,7.3,810,0,150797338,115,"Adventure, Fantasy, Animation, Action"
2014,Stand by Me Doraemon,7.3,483,35000000,83061158,90,"Animation, Science Fiction, Fantasy, Family"
2004,Shrek 2,7.3,11549,150000000,928800000,93,"Animation, Fantasy, Comedy, Adventure, Drama, Family"
2018,Hereditary,7.3,7069,10000000,82500000,128,"Thriller, Horror, Mystery"
2011,Rise of the Planet of the Apes,7.3,10983,93000000,482860185,105,"Drama, Thriller, Action, Science Fiction"
2015,Avengers: Age of Ultron,7.3,22034,365000000,1405403694,141,"Science Fiction, Action, Adventure"
2023,The Wandering Earth II,7.3,419,73801827,604380922,173,"Drama, Action, Science Fiction"
2022,DC League of Super-Pets,7.3,1391,90000000,203000000,105,"Science Fiction, Comedy, Animation, Action, Family"
2022,That Time I Got Reincarnated as a Slime the Movie: Scarlet Bond,7.3,340,0,11426555,108,"Fantasy, Adventure, Animation"
2023,Anyone But You,7.3,30,25000000,32900000,104,"Romance, Comedy"
2002,Spider-Man,7.3,17957,139000000,821708551,121,"Science Fiction, Action"
2021,Black Widow,7.3,9509,200000000,379751131,134,"Science Fiction, Action, Adventure"
2023,Chicken Run: Dawn of the Nugget,7.3,379,0,0,97,"Family, Animation, Adventure, Comedy"
2017,Split,7.3,16531,9000000,278454358,117,"Thriller, Horror"
2016,13 Hours: The Secret Soldiers of Benghazi,7.3,3294,50000000,69411370,144,"Drama, History, War, Action"
2023,Animal,7.3,42,13000000,83000000,201,"Drama, Crime, Action"
2023,Mavka: The Forest Song,7.3,565,5000000,17300000,99,"Adventure, Animation, Fantasy, Family"
2023,The Boy and the Heron,7.3,419,50000000,128700000,124,"Adventure, Fantasy, Animation, Drama"
2018,One Piece: Episode of Skypiea,7.3,65,0,0,104,"Comedy, Animation, Adventure, Action"
2023,Jawan,7.3,160,36150000,136698671,169,"Action, Adventure, Thriller"
2023,Finestkind,7.3,110,0,0,126,"Crime, Thriller, Drama"
2022,Harry Potter 20th Anniversary: Return to Hogwarts,7.3,3123,0,0,103,Documentary
2022,The Witch: Part 2. The Other One,7.3,207,0,23068596,137,"Action, Mystery, Science Fiction, Adventure, Thriller"
2016,The Conjuring 2,7.3,7939,40000000,321800000,134,"Thriller, Horror"
2012,Wreck-It Ralph,7.3,11710,165000000,471222889,101,"Family, Comedy, Animation, Adventure"
2020,Sonic the Hedgehog,7.3,9035,85000000,319700000,99,"Family, Science Fiction, Comedy, Action"
2017,Spider-Man: Homecoming,7.3,20784,175000000,880166924,133,"Action, Drama, Science Fiction, Adventure"
2019,Frozen II,7.3,9224,150000000,1450000000,103,"Animation, Adventure, Fantasy, Comedy, Family"
2023,The Last Kingdom: Seven Kings Must Die,7.3,577,0,0,111,"War, Action, Adventure"
1980,Oscenità,7.3,28,0,0,84,Drama
2023,When Evil Lurks,7.3,344,0,547573,99,"Horror, Thriller"
2014,The Equalizer,7.3,8436,55000000,192330738,132,"Thriller, Crime, Action"
2013,Now You See Me,7.3,14896,75000000,351723989,116,"Thriller, Crime"
2022,Doctor Strange in the Multiverse of Madness,7.3,8263,200000000,955775804,126,"Action, Adventure, Fantasy"
2023,Teenage Mutant Ninja Turtles: Mutant Mayhem,7.3,934,75000000,180000000,100,"Animation, Comedy, Science Fiction, Action"
2019,Maleficent: Mistress of Evil,7.3,5784,185000000,491730089,119,"Adventure, Family, Action, Fantasy"
1933,Baby Face,7.3,103,187000,451000,76,Drama
2023,Una aventura gigante,7.3,4,0,0,0,Animation
2023,How to Succeed at Losing,7.3,8,0,0,98,Comedy
1996,Matilda,7.2,4109,36000000,33500000,98,"Family, Comedy, Fantasy"
2023,Talk to Me,7.2,1996,4500000,92000000,95,"Thriller, Horror"
2015,Furious 7,7.2,10134,190000000,1515400000,137,"Action, Crime, Thriller"
2020,Tenet,7.2,8974,205000000,365304105,150,"Science Fiction, Thriller, Action"
2004,Mean Girls,7.2,8123,17000000,130100000,97,Comedy
2020,After We Collided,7.2,5127,14000000,48000000,105,"Drama, Romance"
2007,Superbad,7.2,6791,20000000,170800000,113,Comedy
2014,The Maze Runner,7.2,16118,34000000,348319861,113,"Action, Thriller, Science Fiction, Mystery"
2017,Wonder Woman,7.2,19162,149000000,822854286,141,"Action, Adventure, Fantasy"
2007,I Am Legend,7.2,14921,150000000,585410052,101,"Drama, Science Fiction, Thriller"
2023,Migration,7.2,75,72000000,117271638,83,"Animation, Family, Action, Comedy, Adventure"
2023,The Hunger Games: The Ballad of Songbirds & Snakes,7.2,1289,100000000,322600000,157,"Drama, Science Fiction, Action"
